,drug,primary_dose,route,primary_dose_description,frequency_description,c_form,c_strength,c_mddf_number,prn,bnf_description,bnf_chapter,container_description,du_cont,unit_description
2271,PHYTOMENADIONE,10,Intravenous,mg,OD,Injection,10 mg/1ml,1007855,N,NUTRITION AND BLOOD,09.06.06,Pack,10,x 1mL ampoule
2409,FUROSEMIDE,80,Intravenous,mg,BD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
2410,FUROSEMIDE,80,Intravenous,mg,BD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
2478,CO-TRIMOXAZOLE,"1,824.00",Intravenous,mg,QDS,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,1,x 5mL ampoule
2479,CO-TRIMOXAZOLE,"1,824.00",Intravenous,mg,QDS,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,5,x 5mL ampoule
2480,CO-TRIMOXAZOLE,"1,824.00",Intravenous,mg,QDS,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,10,x 5mL ampoule
2606,CYCLIZINE,50,Intravenous,mg,TDS,Injection,50 mg/1ml,1003407,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 1mL ampoule
2652,PHYTOMENADIONE,10,Intravenous,mg,OD,Injection,10 mg/1ml,1007855,N,NUTRITION AND BLOOD,09.06.06,Pack,10,x 1mL ampoule
2661,PHYTOMENADIONE,10,Intravenous,mg,OM,Injection,10 mg/1ml,1007855,N,NUTRITION AND BLOOD,09.06.06,Pack,10,x 1mL ampoule
2952,DEXAMETHASONE BASE,3.3,Intravenous,mg,TDS,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
2953,PHENYLEPHRINE,100,Intravenous,mg,TDS,Injection,10 mg/1ml,1004463,N,CARDIVASCULAR SYSTEM,02.07.02,Pack,10,x 1mL ampoule
3001,HYOSCINE BUTYLBROMIDE,20,Intravenous,mg,TDS,Injection,20 mg/1ml,1000042,Y,GASTRO-INTESTINAL SYSTEM,1.02,Pack,10,x 1mL ampoule
3135,METOCLOPRAMIDE,10,Intravenous,mg,QDS,Injection,10 mg/2ml,1015348,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
3136,METOCLOPRAMIDE,10,Intravenous,mg,TDS,Injection,10 mg/2ml,1015348,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
3137,METOCLOPRAMIDE,10,Intravenous,mg,QDS,Injection,10 mg/2ml,1015348,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
3138,METOCLOPRAMIDE,10,Intravenous,mg,TDS,Injection,10 mg/2ml,1015348,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
3143,GENTAMICIN,500,Intravenous,mg,TDS,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,5,x 2mL ampoule
3144,GENTAMICIN,500,Intravenous,mg,TDS,Injection,80 mg/2ml,1014273,N,INFECTIONS,05.01.04,Pack,10,x 2mL ampoule
3209,ONDANSETRON,4,Intravenous,mg,TDS,Injection,4 mg/2ml,1014233,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
3210,ONDANSETRON,4,Intravenous,mg,TDS,Injection,4 mg/2ml,1014233,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
3407,DEXAMETHASONE BASE,3.3,Intravenous,mg,BD,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
3408,DEXAMETHASONE BASE,3.3,Intravenous,mg,BD,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
3409,DEXAMETHASONE BASE,3.3,Intravenous,mg,OM,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
3412,DEXAMETHASONE BASE,4,Intravenous,mg,BD,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
3413,DEXAMETHASONE BASE,2,Intravenous,mg,BD,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
3438,DEXAMETHASONE BASE,1.65,Intravenous,mg,alternate days,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
3439,DEXAMETHASONE BASE,1.65,Intravenous,mg,OM,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
3441,DEXAMETHASONE BASE,6,Intravenous,mg,OM,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
3573,CLINDAMYCIN,"1,200.00",Intravenous,mg,TDS,Injection,600 mg/4ml,9009050,N,INFECTIONS,05.01.06,Pack,5,x 4mL ampoule
3771,DEXAMETHASONE BASE,8,Intravenous,mg,OM,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
3849,FUROSEMIDE,40,Intravenous,mg,OD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
3850,FUROSEMIDE,40,Intravenous,mg,OD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
3968,MORPHINE SULFATE,10,Intravenous,mg,Every 3 hours,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
4134,CLINDAMYCIN,"1,200.00",Intravenous,mg,6H,Injection,600 mg/4ml,9009050,N,INFECTIONS,05.01.06,Pack,5,x 4mL ampoule
4136,CLINDAMYCIN,1.2,Intravenous,mg,6H,Injection,600 mg/4ml,9009050,N,INFECTIONS,05.01.06,Pack,5,x 4mL ampoule
4176,MORPHINE SULFATE,5,Intravenous,mg,6H,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
4218,CYCLIZINE,50,Intravenous,mg,TDS,Injection,50 mg/1ml,1003407,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 1mL ampoule
4219,ONDANSETRON,4,Intravenous,mg,TDS,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
4220,ONDANSETRON,4,Intravenous,mg,TDS,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
4297,HYOSCINE BUTYLBROMIDE,20,Intravenous,mg,TDS,Injection,20 mg/1ml,1000042,N,GASTRO-INTESTINAL SYSTEM,1.02,Pack,10,x 1mL ampoule
4346,MORPHINE SULFATE,2.5,Intravenous,mg,QDS,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
4347,CYCLIZINE,50,Intravenous,mg,TDS,Injection,50 mg/1ml,1003407,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 1mL ampoule
4352,ONDANSETRON,4,Intravenous,mg,TDS,Injection,4 mg/2ml,1014233,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
4353,ONDANSETRON,4,Intravenous,mg,TDS,Injection,4 mg/2ml,1014233,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
4560,DEXAMETHASONE BASE,6.6,Intravenous,mg,*1X TEA-*1X NIGHT Transition Frequency,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
4561,DEXAMETHASONE BASE,6.6,Intravenous,mg,ON,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
4690,MORPHINE SULFATE,10,Intravenous,mg,QDS,Injection,10 mg/1ml,1014319,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,10,x 1mL ampoule
4766,SODIUM VALPROATE [:SOLUTION] (5 x 4mL),500,Intravenous,mg,BD,Injection,400 mg/4ml,1020197,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,5,x 4mL ampoule
4866,FUROSEMIDE,40,Intravenous,mg,OM,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
4867,FUROSEMIDE,40,Intravenous,mg,OM,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
4888,DEXAMETHASONE BASE,8,Intravenous,mg,BD,Injection,3.3 mg/1ml,1014815,N,ENDOCRINE SYSTEM,06.03.02,Pack,10,x 1mL ampoule
5239,FUROSEMIDE,20,Intravenous,mg,OM,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
5240,FUROSEMIDE,20,Intravenous,mg,OM,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
5602,ONDANSETRON,2,Intravenous,mg,TDS,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
5603,ONDANSETRON,2,Intravenous,mg,TDS,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
5658,FUROSEMIDE,40,Intravenous,mg,BD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
5659,FUROSEMIDE,40,Intravenous,mg,BD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
5807,FUROSEMIDE,120,Intravenous,mg,BD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
5808,FUROSEMIDE,120,Intravenous,mg,BD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
5926,CYCLIZINE,50,Intravenous,mg,TDS,Injection,50 mg/1ml,1003407,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 1mL ampoule
5946,METOCLOPRAMIDE,10,Intravenous,mg,TDS,Injection,10 mg/2ml,1015348,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
5947,METOCLOPRAMIDE,10,Intravenous,mg,TDS,Injection,10 mg/2ml,1015348,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
5984,TRANEXAMIC ACID,"1,000.00",Intravenous,mg,8H,Injection,500 mg/5ml,1006288,N,CARDIVASCULAR SYSTEM,2.11,Pack,5,x 5mL ampoule
5985,TRANEXAMIC ACID,"1,000.00",Intravenous,mg,8H,Injection,500 mg/5ml,1006288,N,CARDIVASCULAR SYSTEM,2.11,Pack,10,x 5mL ampoule
6150,FUROSEMIDE,40,Intravenous,mg,OD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
6151,FUROSEMIDE,40,Intravenous,mg,OD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
6277,CHLORPHENAMINE,10,Intravenous,mg,8H,Injection,10 mg/1ml,1003307,Y,RESPIRATORY SYSTEM,03.04.01,Pack,5,x 1mL ampoule
6291,MIDAZOLAM,2.5,Intravenous,mg,OM,Injection,5 mg/5ml,1014286,N,ANAESTHESIA,15.01.04,Pack,10,x 5mL ampoule
6603,METRONIDAZOLE,500,Intravenous,mg,TDS,Injection,500 mg/100ml,1013286,N,INFECTIONS,05.01.11,Bag,1,mL
6638,SODIUM VALPROATE [:SOLUTION] (5 x 4mL),300,Intravenous,mg,BD,Injection,400 mg/4ml,1020197,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,5,x 4mL ampoule
6644,SODIUM VALPROATE [:SOLUTION] (5 x 4mL),300,Intravenous,mg,BD,Injection,400 mg/4ml,1020197,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,5,x 4mL ampoule
6664,CO-TRIMOXAZOLE,960,Intravenous,mg,BD,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,1,x 5mL ampoule
6665,CO-TRIMOXAZOLE,960,Intravenous,mg,BD,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,5,x 5mL ampoule
6666,CO-TRIMOXAZOLE,960,Intravenous,mg,BD,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,10,x 5mL ampoule
6677,CO-TRIMOXAZOLE,960,Intravenous,mg,BD,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,1,x 5mL ampoule
6678,CO-TRIMOXAZOLE,480,Intravenous,mg,BD,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,1,x 5mL ampoule
6679,CO-TRIMOXAZOLE,960,Intravenous,mg,BD,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,5,x 5mL ampoule
6680,CO-TRIMOXAZOLE,480,Intravenous,mg,BD,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,5,x 5mL ampoule
6681,CO-TRIMOXAZOLE,960,Intravenous,mg,BD,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,10,x 5mL ampoule
6682,CO-TRIMOXAZOLE,480,Intravenous,mg,BD,Injection,480 mg/5ml,1012960,N,INFECTIONS,05.01.08,Pack,10,x 5mL ampoule
6689,TRANEXAMIC ACID,"1,000.00",Intravenous,mg,TDS,Injection,500 mg/5ml,1006288,N,CARDIVASCULAR SYSTEM,2.11,Pack,5,x 5mL ampoule
6690,TRANEXAMIC ACID,"1,000.00",Intravenous,mg,TDS,Injection,500 mg/5ml,1006288,N,CARDIVASCULAR SYSTEM,2.11,Pack,10,x 5mL ampoule
6994,CYCLIZINE,50,Intravenous,mg,8H,Injection,50 mg/1ml,1003407,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 1mL ampoule
7002,ONDANSETRON,4,Intravenous,mg,8H,Injection,4 mg/2ml,1014233,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
7003,ONDANSETRON,4,Intravenous,mg,8H,Injection,4 mg/2ml,1014233,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
7086,HYOSCINE BUTYLBROMIDE,20,Intravenous,mg,QDS,Injection,20 mg/1ml,1000042,Y,GASTRO-INTESTINAL SYSTEM,1.02,Pack,10,x 1mL ampoule
7120,METOCLOPRAMIDE,5,Intravenous,mg,8H,Injection,10 mg/2ml,1015348,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
7121,METOCLOPRAMIDE,5,Intravenous,mg,8H,Injection,10 mg/2ml,1015348,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
7131,ONDANSETRON,4,Intravenous,mg,8H,Injection,8 mg/4ml,1014234,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 4mL ampoule
7132,ONDANSETRON,8,Intravenous,mg,8H,Injection,8 mg/4ml,1014234,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 4mL ampoule
7192,TRANEXAMIC ACID,"1,000.00",Intravenous,mg,TDS,Injection,500 mg/5ml,1006288,N,CARDIVASCULAR SYSTEM,2.11,Pack,5,x 5mL ampoule
7193,TRANEXAMIC ACID,"1,000.00",Intravenous,mg,TDS,Injection,500 mg/5ml,1006288,N,CARDIVASCULAR SYSTEM,2.11,Pack,10,x 5mL ampoule
7233,HYDROCORTISONE SODIUM PHOSPHATE,100,Intravenous,mg,6H,Injection,100 mg/1ml,1014748,N,ENDOCRINE SYSTEM,06.03.02,Pack,5,x 1mL ampoule
7259,HYDROCORTISONE SODIUM PHOSPHATE,10,Intravenous,mg,OD,Injection,100 mg/1ml,1014748,N,ENDOCRINE SYSTEM,06.03.02,Pack,5,x 1mL ampoule
7260,HYDROCORTISONE SODIUM PHOSPHATE,20,Intravenous,mg,OM,Injection,100 mg/1ml,1014748,N,ENDOCRINE SYSTEM,06.03.02,Pack,5,x 1mL ampoule
7281,FUROSEMIDE,80,Intravenous,mg,OD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
7282,FUROSEMIDE,80,Intravenous,mg,OD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
7339,LINEZOLID,600,Intravenous,mg,BD,Injection,600 mg/300ml,2004907,N,INFECTIONS,05.01.07,Bag,1,mL
7509,METOCLOPRAMIDE,10,Intravenous,mg,TDS,Injection,10 mg/2ml,1015348,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
7510,METOCLOPRAMIDE,10,Intravenous,mg,TDS,Injection,10 mg/2ml,1015348,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
7583,SODIUM VALPROATE [:SOLUTION] (5 x 4mL),"1,500.00",Intravenous,mg,ON,Injection,400 mg/4ml,1020197,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,5,x 4mL ampoule
7584,SODIUM VALPROATE [:SOLUTION] (5 x 4mL),"1,000.00",Intravenous,mg,OM,Injection,400 mg/4ml,1020197,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,5,x 4mL ampoule
7680,HYOSCINE BUTYLBROMIDE,20,Intravenous,mg,TDS,Injection,20 mg/1ml,1000042,Y,GASTRO-INTESTINAL SYSTEM,1.02,Pack,10,x 1mL ampoule
7753,CHLORPHENAMINE,10,Intravenous,mg,6H,Injection,10 mg/1ml,1003307,Y,RESPIRATORY SYSTEM,03.04.01,Pack,5,x 1mL ampoule
7870,CHLORPHENAMINE,10,Intravenous,mg,QDS,Injection,10 mg/1ml,1003307,N,RESPIRATORY SYSTEM,03.04.01,Pack,5,x 1mL ampoule
7896,FUROSEMIDE,80,Intravenous,mg,OM,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
7897,FUROSEMIDE,80,Intravenous,mg,OM,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
7935,SODIUM VALPROATE [:SOLUTION] (5 x 4mL),500,Intravenous,mg,OM,Injection,400 mg/4ml,1020197,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,5,x 4mL ampoule
7948,METRONIDAZOLE,500,Intravenous,mg,STAT,Injection,500 mg/100ml,1013286,N,INFECTIONS,05.01.11,Bag,1,mL
7990,CYCLIZINE,50,Intravenous,mg,QDS,Injection,50 mg/1ml,1003407,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 1mL ampoule
8056,METOCLOPRAMIDE,10,Intravenous,mg,TDS,Injection,10 mg/2ml,1015348,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
8057,METOCLOPRAMIDE,10,Intravenous,mg,TDS,Injection,10 mg/2ml,1015348,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,x 2mL ampoule
8091,CALCIUM FOLINATE,30,Intravenous,mg,"Every 6 hours at 04:00,10:00,16:00,22:00",Injection,15 mg/2ml,2007140,N,MALIGNANT DISEASE AND IMMUNOSUPPRESSION,8.01,Pack,5,x 2mL ampoule
8092,CALCIUM FOLINATE,30,Intravenous,mg,Every 3 hours,Injection,15 mg/2ml,2007140,N,MALIGNANT DISEASE AND IMMUNOSUPPRESSION,8.01,Pack,5,x 2mL ampoule
8188,FUROSEMIDE,60,Intravenous,mg,BD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,5,x 2mL ampoule
8189,FUROSEMIDE,60,Intravenous,mg,BD,Injection,20 mg/2ml,1015349,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,10,x 2mL ampoule
8226,ONDANSETRON,8,Intravenous,mg,BD,Injection,8 mg/4ml,1014234,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 4mL ampoule
8305,CLINDAMYCIN,600,Intravenous,mg,6H,Injection,600 mg/4ml,9009050,N,INFECTIONS,05.01.06,Pack,5,x 4mL ampoule
8315,TRANEXAMIC ACID,"1,000.00",Intravenous,mg,TDS,Injection,500 mg/5ml,1006288,N,CARDIVASCULAR SYSTEM,2.11,Pack,5,x 5mL ampoule
8316,TRANEXAMIC ACID,"1,000.00",Intravenous,mg,TDS,Injection,500 mg/5ml,1006288,N,CARDIVASCULAR SYSTEM,2.11,Pack,10,x 5mL ampoule
8406,METRONIDAZOLE,800,Intravenous,mg,8H,Injection,500 mg/100ml,1013286,N,INFECTIONS,05.01.11,Bag,1,mL
8496,DIGOXIN PAEDIATRIC,62.5,Intravenous,microgram,OM,Injection,100 micrograms/1ml,3003618,N,CARDIVASCULAR SYSTEM,02.01.01,Pack,1,x 1mL ampoule
8497,DIGOXIN PAEDIATRIC,62.5,Intravenous,microgram,OM,Injection,100 micrograms/1ml,3003618,N,CARDIVASCULAR SYSTEM,02.01.01,Pack,10,x 1mL ampoule
8565,HYOSCINE BUTYLBROMIDE,10,Intravenous,mg,TDS,Injection,20 mg/1ml,1000042,Y,GASTRO-INTESTINAL SYSTEM,1.02,Pack,10,x 1mL ampoule
8576,ONDANSETRON,4,Intravenous,mg,TDS,Injection,4 mg/2ml,1014233,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,5,x 2mL ampoule
