,drug,primary_dose,route,primary_dose_description,frequency_description,c_form,c_strength,prn,bnf_description,bnf_chapter,container_description,du_cont,unit_description,chapter,name
62,METHOTREXATE ,2.5,Oral,mg,OW,Tablets,2.5 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,24,tablet,10.01.03,Rheumatic disease suppressant drugs
63,METHOTREXATE ,2.5,Oral,mg,OW,Tablets,2.5 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,100,tablet,10.01.03,Rheumatic disease suppressant drugs
64,METHOTREXATE ,17.5,Oral,mg,OW,Tablets,2.5 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,24,tablet,10.01.03,Rheumatic disease suppressant drugs
65,METHOTREXATE ,17.5,Oral,mg,OW,Tablets,2.5 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,100,tablet,10.01.03,Rheumatic disease suppressant drugs
66,METHOTREXATE ,20,Oral,mg,OW,Tablets,2.5 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,24,tablet,10.01.03,Rheumatic disease suppressant drugs
67,METHOTREXATE ,20,Oral,mg,OW,Tablets,2.5 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,100,tablet,10.01.03,Rheumatic disease suppressant drugs
72,PRAMIPEXOLE,540,Oral,microgram,ON,Tablets,180 microgram,N,CENTRAL NERVOUS SYSTEM,04.09.01,Pack,30,tablet,04.09.01,Dopaminergic drugs used in parkinsonism
74,AMITRIPTYLINE,25,Oral,mg,ON,Tablets,25 mg,N,CENTRAL NERVOUS SYSTEM,04.03.01,Pack,28,tablet,04.03.01,Tricyclic and related antidepressant drugs
78,PREDNISOLONE,30,Oral,mg,OM,Tablets,5 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,28,tablet,06.03.02,Glucocorticoid therapy
82,PARACETAMOL ,"1,000.00",Oral,mg,QDS,Tablets,500 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,32,Tablet,04.07.01,Non-opioid analgesics and compound preparations
83,PARACETAMOL ,"1,000.00",Oral,mg,QDS,Tablets,500 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,100,Tablet,04.07.01,Non-opioid analgesics and compound preparations
87,ATORVASTATIN,20,Oral,mg,ON,Tablets,20 mg,N,CARDIVASCULAR SYSTEM,2.12,Pack,28,tablet,2.12,Lipid-regulating drugs
89,LORAZEPAM,500,Oral,microgram,BD,Tablets,1 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
94,FEXOFENADINE,360,Oral,mg,BD,Tablets,180 mg,N,RESPIRATORY SYSTEM,03.04.01,Pack,30,tablet,03.04.01,Antihistamines
96,SERTRALINE,50,Oral,mg,OM,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,28,tablet,04.03.03,Selective serotonin re-uptake inhibitors
99,FUROSEMIDE,40,Oral,mg,OM,Tablets,40 mg,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,28,tablet,02.02.02,Loop diuretics
102,AMLODIPINE,10,Oral,mg,OM,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,02.06.02,Pack,28,tablet,02.06.02,Calcium-channel blockers
106,LORAZEPAM,500,Oral,microgram,6H,Tablets,1 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
109,LORAZEPAM,500,Oral,microgram,QDS,Tablets,1 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
112,MEMANTINE,10,Oral,mg,ON,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,4.11,Pack,28,tablet,4.11,Drugs for dementia
113,APIXABAN,5,Oral,mg,BD,Tablets,5 mg,N,CARDIVASCULAR SYSTEM,02.08.02,Pack,56,tablet,02.08.02,Oral anticoagulants
118,NAPROXEN,500,Oral,mg,BD,Tablets,500 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,28,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
119,ZOPICLONE,3.75,Oral,mg,ON,Tablets,3.75 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.01,Pack,28,tablet,04.01.01,Hypnotics
120,BISOPROLOL,2.5,Oral,mg,OM,Tablets,2.5 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
121,AMLODIPINE,5,Oral,mg,OM,Tablets,5 mg,N,CARDIVASCULAR SYSTEM,02.06.02,Pack,28,tablet,02.06.02,Calcium-channel blockers
123,PREDNISOLONE,5,Oral,mg,OM,Tablets,5 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,28,tablet,06.03.02,Glucocorticoid therapy
125,PREDNISOLONE,15,Oral,mg,OM,Tablets,5 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,28,tablet,06.03.02,Glucocorticoid therapy
130,NEFOPAM,30,Oral,mg,TDS,Tablets,30 mg,N,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,90,tablet,04.07.01,Non-opioid analgesics and compound preparations
133,ATORVASTATIN,10,Oral,mg,ON,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,2.12,Pack,28,tablet,2.12,Lipid-regulating drugs
136,FUROSEMIDE,20,Oral,mg,OM,Tablets,20 mg,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,28,tablet,02.02.02,Loop diuretics
138,CITALOPRAM,10,Oral,mg,OM,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,28,tablet,04.03.03,Selective serotonin re-uptake inhibitors
139,DOXAZOSIN,2,Oral,mg,OM,Tablets,2 mg,N,CARDIVASCULAR SYSTEM,02.05.04,Pack,28,tablet,02.05.04,Alpha-adrenoceptor blocking drugs
140,NEBIVOLOL,5,Oral,mg,OM,Tablets,5 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
141,SOLIFENACIN,5,Oral,mg,OM,Tablets,5 mg,N,OBSTETRICS GYNAECOLOGY URINARY TRACT DISORDERS,07.04.02,Pack,30,tablet,07.04.02,Drugs for urinary frequency enuresis and incontinence
142,BENDROFLUMETHIAZIDE,2.5,Oral,mg,OM,Tablets,2.5 mg,N,CARDIVASCULAR SYSTEM,02.02.01,Pack,28,tablet,02.02.01,Thiazides and related diuretics
143,CODEINE PHOSPHATE,30,Oral,mg,QDS,Tablets,30 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,28,tablet,04.07.02,Opioid analgesics
149,APIXABAN,2.5,Oral,mg,BD,Tablets,2.5 mg,N,CARDIVASCULAR SYSTEM,02.08.02,Pack,20,tablet,02.08.02,Oral anticoagulants
151,CITALOPRAM,20,Oral,mg,OM,Tablets,20 mg,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,28,tablet,04.03.03,Selective serotonin re-uptake inhibitors
154,HYOSCINE BUTYLBROMIDE,20,Oral,mg,QDS,Tablets,10 mg,N,GASTRO-INTESTINAL SYSTEM,1.02,Bottle,56,tablet,1.02,Antispasmodics and other drugs altering gut motility
155,APREMILAST,30,Oral,mg,BD,Tablets,30 mg,N,SKIN,13.05.03,Pack,56,tablet,13.05.03,Drugs affecting the immune response
163,CYCLIZINE,50,Oral,mg,TDS,Tablets,50 mg,Y,CENTRAL NERVOUS SYSTEM,4.06,Bottle,100,tablet,4.06,Drugs used in nausea and vertigo
164,BISOPROLOL,1.25,Oral,mg,OM,Tablets,1.25 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
165,CODEINE PHOSPHATE,60,Oral,mg,QDS,Tablets,30 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,28,tablet,04.07.02,Opioid analgesics
167,QUININE SULFATE,200,Oral,mg,ON,Tablets,200 mg,N,INFECTIONS,05.04.01,Pack,28,tablet,05.04.01,Antimalarials
170,INDAPAMIDE,2.5,Oral,mg,OM,Tablets,2.5 mg,N,CARDIVASCULAR SYSTEM,02.02.01,Pack,28,tablet,02.02.01,Thiazides and related diuretics
178,PROCHLORPERAZINE,5,Oral,mg,TDS,Tablets,5 mg,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,28,tablet,4.06,Drugs used in nausea and vertigo
179,PROCHLORPERAZINE,5,Oral,mg,TDS,Tablets,5 mg,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,84,tablet,4.06,Drugs used in nausea and vertigo
182,METRONIDAZOLE,400,Oral,mg,TDS,Tablets,400 mg,N,INFECTIONS,05.01.11,Bottle,21,tablet,05.01.11,"Metronidazole, tinidazole and ornidazole"
185,BISOPROLOL,2.5,Oral,mg,BD,Tablets,2.5 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
190,FUROSEMIDE,40,Oral,mg,BD,Tablets,40 mg,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,28,tablet,02.02.02,Loop diuretics
191,FUROSEMIDE,40,Oral,mg,BD,Tablets,40 mg,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,28,tablet,02.02.02,Loop diuretics
195,FUROSEMIDE,40,Oral,mg,OD,Tablets,40 mg,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,28,tablet,02.02.02,Loop diuretics
202,ATORVASTATIN,80,Oral,mg,ON,Tablets,80 mg,N,CARDIVASCULAR SYSTEM,2.12,Pack,28,tablet,2.12,Lipid-regulating drugs
209,PREDNISOLONE,40,Oral,mg,OM,Tablets,5 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,28,tablet,06.03.02,Glucocorticoid therapy
221,IBUPROFEN,400,Oral,mg,TDS,Tablets,400 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,24,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
222,IBUPROFEN,400,Oral,mg,TDS,Tablets,400 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,48,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
223,IBUPROFEN,400,Oral,mg,TDS,Tablets,400 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,84,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
229,CETIRIZINE,10,Oral,mg,OM,Tablets,10 mg,N,RESPIRATORY SYSTEM,03.04.01,Pack,30,tablet,03.04.01,Antihistamines
230,ATENOLOL,100,Oral,mg,OM,Tablets,100 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
232,CITALOPRAM,40,Oral,mg,OM,Tablets,20 mg,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,28,tablet,04.03.03,Selective serotonin re-uptake inhibitors
233,DOXAZOSIN,2,Oral,mg,BD,Tablets,2 mg,N,CARDIVASCULAR SYSTEM,02.05.04,Pack,28,tablet,02.05.04,Alpha-adrenoceptor blocking drugs
238,ALLOPURINOL,200,Oral,mg,OM,Tablets,100 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.04,Pack,28,tablet,10.01.04,Gout and cytotoxic induced hyperuicaemia
239,LABETALOL,200,Oral,mg,BD,Tablets,200 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,56,tablet,2.04,Beta-adrenoceptor blocking drugs
243,CYCLIZINE,50,Oral,mg,TDS,Tablets,50 mg,Y,CENTRAL NERVOUS SYSTEM,4.06,Bottle,100,tablet,4.06,Drugs used in nausea and vertigo
253,CODEINE PHOSPHATE,30,Oral,mg,BD,Tablets,30 mg,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,28,tablet,04.07.02,Opioid analgesics
263,CIPROFLOXACIN,500,Oral,mg,BD,Tablets,500 mg,N,INFECTIONS,05.01.12,Pack,10,tablet,05.01.12,Quinolones
264,CIPROFLOXACIN,500,Oral,mg,BD,Tablets,500 mg,N,INFECTIONS,05.01.12,Pack,20,tablet,05.01.12,Quinolones
265,CIPROFLOXACIN,500,Oral,mg,BD,Tablets,500 mg,N,INFECTIONS,05.01.12,Pack,100,tablet,05.01.12,Quinolones
267,CARBAMAZEPINE 'TEGRETOL',100,Oral,mg,TDS,Tablets,100 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,84,tablet,04.08.01,Control of epilepsy
268,CARBAMAZEPINE 'TEGRETOL',150,Oral,mg,TDS,Tablets,100 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,84,tablet,04.08.01,Control of epilepsy
269,CARBAMAZEPINE 'TEGRETOL',200,Oral,mg,TDS,Tablets,100 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,84,tablet,04.08.01,Control of epilepsy
271,SIMVASTATIN,10,Oral,mg,ON,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,2.12,Pack,28,tablet,2.12,Lipid-regulating drugs
273,SENNA,2,Oral,tablet,ON,Tablets,7.5 mg,Y,GASTRO-INTESTINAL SYSTEM,01.06.02,Pack,20,tablet,01.06.02,Stimulant laxatives
274,SENNA,2,Oral,tablet,ON,Tablets,7.5 mg,Y,GASTRO-INTESTINAL SYSTEM,01.06.02,Pack,60,tablet,01.06.02,Stimulant laxatives
275,SENNA,2,Oral,tablet,ON,Tablets,7.5 mg,Y,GASTRO-INTESTINAL SYSTEM,01.06.02,Pack,100,tablet,01.06.02,Stimulant laxatives
276,SENNA,2,Oral,tablet,ON,Tablets,7.5 mg,Y,GASTRO-INTESTINAL SYSTEM,01.06.02,Pack,500,tablet,01.06.02,Stimulant laxatives
279,NAPROXEN,500,Oral,mg,BD,Tablets,500 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,28,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
286,SIMVASTATIN,20,Oral,mg,ON,Tablets,20 mg,N,CARDIVASCULAR SYSTEM,2.12,Pack,28,tablet,2.12,Lipid-regulating drugs
297,VENLAFAXINE,37.5,Oral,mg,BD,Tablets,37.5 mg,N,CENTRAL NERVOUS SYSTEM,04.03.04,Pack,56,tablet,04.03.04,Other antidepressant drugs
298,TEMAZEPAM,10,Oral,mg,ON,Tablets,10 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.01,Pack,28,tablet,04.01.01,Hypnotics
300,PARACETAMOL ,500,Oral,mg,QDS,Tablets,500 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,32,Tablet,04.07.01,Non-opioid analgesics and compound preparations
301,PARACETAMOL ,500,Oral,mg,QDS,Tablets,500 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,100,Tablet,04.07.01,Non-opioid analgesics and compound preparations
302,CHLORPHENAMINE,4,Oral,mg,QDS,Tablets,4 mg,N,RESPIRATORY SYSTEM,03.04.01,Pack,28,tablet,03.04.01,Antihistamines
308,CODEINE PHOSPHATE,15,Oral,mg,TDS,Tablets,15 mg,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,28,tablet,04.07.02,Opioid analgesics
310,PREDNISOLONE,25,Oral,mg,OM,Tablets,5 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,28,tablet,06.03.02,Glucocorticoid therapy
315,FLUDROCORTISONE,50,Oral,microgram,OM,Tablets,100 microgram,N,ENDOCRINE SYSTEM,06.03.01,Pack,30,tablet,06.03.01,Replacement therapy
316,FLUDROCORTISONE,50,Oral,microgram,OM,Tablets,100 microgram,N,ENDOCRINE SYSTEM,06.03.01,Pack,100,tablet,06.03.01,Replacement therapy
318,EDOXABAN,30,Oral,mg,OM,Tablets,30 mg,N,CARDIVASCULAR SYSTEM,02.08.02,Pack,28,Tablet,02.08.02,Oral anticoagulants
319,SPIRONOLACTONE,25,Oral,mg,OM,Tablets,25 mg,N,CARDIVASCULAR SYSTEM,02.02.03,Pack,28,tablet,02.02.03,Potassium-sparing diuretics and aldosterone antagonists
324,SENNA,1,Oral,tablet,ON,Tablets,7.5 mg,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Pack,20,tablet,01.06.02,Stimulant laxatives
325,SENNA,1,Oral,tablet,ON,Tablets,7.5 mg,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Pack,60,tablet,01.06.02,Stimulant laxatives
326,SENNA,1,Oral,tablet,ON,Tablets,7.5 mg,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Pack,100,tablet,01.06.02,Stimulant laxatives
327,SENNA,1,Oral,tablet,ON,Tablets,7.5 mg,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Pack,500,tablet,01.06.02,Stimulant laxatives
328,THIAMINE,100,Oral,mg,TDS,Tablets,100 mg,N,NUTRITION AND BLOOD,09.06.02,Pack,28,tablet,09.06.02,Vitamin B group
329,THIAMINE,100,Oral,mg,TDS,Tablets,100 mg,N,NUTRITION AND BLOOD,09.06.02,Bottle,100,tablet,09.06.02,Vitamin B group
332,AMIODARONE,200,Oral,mg,OM,Tablets,200 mg,N,CARDIVASCULAR SYSTEM,02.03.02,Pack,28,tablet,02.03.02,Drugs for arrhythmias
336,CARVEDILOL,12.5,Oral,mg,BD,Tablets,12.5 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
337,CODEINE PHOSPHATE,30,Oral,mg,QDS,Tablets,30 mg,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,28,tablet,04.07.02,Opioid analgesics
342,CODEINE PHOSPHATE,60,Oral,mg,QDS,Tablets,60 mg,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,28,tablet,04.07.02,Opioid analgesics
347,FAMOTIDINE,20,Oral,mg,OM,Tablets,20 mg,N,GASTRO-INTESTINAL SYSTEM,01.03.01,Pack,28,tablet,01.03.01,H2-receptor antagonists
348,FAMOTIDINE,20,Oral,mg,ON,Tablets,20 mg,N,GASTRO-INTESTINAL SYSTEM,01.03.01,Pack,28,tablet,01.03.01,H2-receptor antagonists
349,THIAMINE,100,Oral,mg,TDS,Tablets,50 mg,N,NUTRITION AND BLOOD,09.06.02,Bottle,100,tablet,09.06.02,Vitamin B group
350,COLECALCIFEROL 'ACIFEROL D3',400,Oral,unit(s),BD,Tablets,400 units,N,NUTRITION AND BLOOD,09.06.04,Pack,90,tablet,09.06.04,Vitamin D
354,PARACETAMOL ,"1,000.00",Oral,mg,TDS,Tablets,500 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,32,Tablet,04.07.01,Non-opioid analgesics and compound preparations
355,PARACETAMOL ,"1,000.00",Oral,mg,TDS,Tablets,500 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,100,Tablet,04.07.01,Non-opioid analgesics and compound preparations
356,SERTRALINE,100,Oral,mg,OM,Tablets,100 mg,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,28,tablet,04.03.03,Selective serotonin re-uptake inhibitors
357,MIRTAZAPINE,15,Oral,mg,ON,Tablets,15 mg,N,CENTRAL NERVOUS SYSTEM,04.03.04,Container,28,tablet,04.03.04,Other antidepressant drugs
358,MIRTAZAPINE,15,Oral,mg,ON,Tablets,15 mg,N,CENTRAL NERVOUS SYSTEM,04.03.04,Pack,1,tablet,04.03.04,Other antidepressant drugs
362,CLOBAZAM,20,Oral,mg,ON,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,30,tablet,04.08.01,Control of epilepsy
367,PREDNISOLONE,60,Oral,mg,OM,Tablets,5 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,28,tablet,06.03.02,Glucocorticoid therapy
370,FEXOFENADINE,120,Oral,mg,OM,Tablets,120 mg,N,RESPIRATORY SYSTEM,03.04.01,Pack,30,tablet,03.04.01,Antihistamines
371,URSODEOXYCHOLIC ACID,300,Oral,mg,TDS,Tablets,150 mg,N,GASTRO-INTESTINAL SYSTEM,01.09.01,Pack,60,tablet,01.09.01,Drugs affecting biliary composition and flow
379,PREDNISOLONE,20,Oral,mg,OM,Tablets,5 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,28,tablet,06.03.02,Glucocorticoid therapy
381,PREDNISOLONE,50,Oral,mg,OM,Tablets,5 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,28,tablet,06.03.02,Glucocorticoid therapy
383,PREDNISOLONE,300,Oral,mg,OM,Tablets,5 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,28,tablet,06.03.02,Glucocorticoid therapy
384,URSODEOXYCHOLIC ACID,300,Oral,mg,TDS,Tablets,150 mg,N,GASTRO-INTESTINAL SYSTEM,01.09.01,Pack,60,tablet,01.09.01,Drugs affecting biliary composition and flow
387,BISOPROLOL,5,Oral,mg,OM,Tablets,5 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
394,CYCLIZINE,50,Oral,mg,TDS,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,4.06,Bottle,100,tablet,4.06,Drugs used in nausea and vertigo
396,CHLORPHENAMINE,4,Oral,mg,QDS,Tablets,4 mg,Y,RESPIRATORY SYSTEM,03.04.01,Pack,28,tablet,03.04.01,Antihistamines
398,PARACETAMOL ,500,Oral,mg,TDS,Tablets,500 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,32,Tablet,04.07.01,Non-opioid analgesics and compound preparations
399,PARACETAMOL ,500,Oral,mg,TDS,Tablets,500 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,100,Tablet,04.07.01,Non-opioid analgesics and compound preparations
400,FLUDROCORTISONE,200,Oral,microgram,OM,Tablets,100 microgram,N,ENDOCRINE SYSTEM,06.03.01,Pack,30,tablet,06.03.01,Replacement therapy
401,FLUDROCORTISONE,300,Oral,microgram,OM,Tablets,100 microgram,N,ENDOCRINE SYSTEM,06.03.01,Pack,30,tablet,06.03.01,Replacement therapy
402,FLUDROCORTISONE,400,Oral,microgram,OM,Tablets,100 microgram,N,ENDOCRINE SYSTEM,06.03.01,Pack,30,tablet,06.03.01,Replacement therapy
403,FLUDROCORTISONE,200,Oral,microgram,OM,Tablets,100 microgram,N,ENDOCRINE SYSTEM,06.03.01,Pack,100,tablet,06.03.01,Replacement therapy
