drug,primary_dose,route,primary_dose_description,frequency_description,c_form,c_strength,c_mddf_number,prn,bnf_description,bnf_chapter,container_description,du_cont,unit_description,strength
MORPHINE SULFATE,10,Oral,mg,4H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
AMLODIPINE,5,Oral,mg,OM,Oral Solution Sugar Free,5 mg/5ml,1021722,N,CARDIVASCULAR SYSTEM,02.06.02,Pack,150,mL,"['5 mg', '5ml']"
OXYCODONE,2.5,Oral,mg,QDS,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
SODIUM PICOSULFATE,5,Oral,mg,BD,Oral Solution,5 mg/5ml,1004727,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,100,mL,"['5 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,6H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,6H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,6H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,6H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
CIPROFLOXACIN,500,Oral,mg,BD,Oral Suspension,250 mg/5ml,3006920,N,INFECTIONS,05.01.12,Pack,1,mL,"['250 mg', '5ml']"
OXYCODONE,2.5,Oral,mg,TDS,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
LEVOTHYROXINE,100,Oral,microgram,OM,Oral Solution,100 micrograms/5ml,1014344,N,ENDOCRINE SYSTEM,06.02.01,Pack,100,mL,"['100 micrograms', '5ml']"
METRONIDAZOLE,400,Oral,mg,TDS,Oral Suspension,200 mg/5ml,1006405,N,INFECTIONS,05.01.11,Bottle,100,mL,"['200 mg', '5ml']"
DOCUSATE,200,Oral,mg,BD,Oral Solution Sugar Free,50 mg/5ml,2003674,Y,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['50 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,Every 3 hours,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,Every 3 hours,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
OMEPRAZOLE,20,Oral,mg,BD,Oral Solution,10 mg/5ml,1015395,N,GASTRO-INTESTINAL SYSTEM,01.03.05,Pack,75,mL,"['10 mg', '5ml']"
OMEPRAZOLE,20,Oral,mg,BD,Oral Solution,10 mg/5ml,1015395,N,GASTRO-INTESTINAL SYSTEM,01.03.05,Pack,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,Every 3 hours,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,Every 3 hours,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,Every 2 hours,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,Every 2 hours,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
PROPRANOLOL,40,Oral,mg,OM,Oral Solution Sugar Free,40 mg/5ml,1007172,N,CARDIVASCULAR SYSTEM,2.04,Pack,150,mL,"['40 mg', '5ml']"
CETIRIZINE,10,Oral,mg,OM,Oral Solution Sugar Free,1 mg/ml,2005918,N,RESPIRATORY SYSTEM,03.04.01,Bottle,200,mL,"['1 mg', 'ml']"
BACLOFEN,10,Oral,mg,OM,Oral Solution Sugar Free,5 mg/5ml,1018807,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Bottle,300,mL,"['5 mg', '5ml']"
CLOBAZAM,10,Oral,mg,OM,Oral Suspension,10 mg/5ml,1018872,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,150,mL,"['10 mg', '5ml']"
CLOBAZAM,20,Oral,mg,ON,Oral Suspension,10 mg/5ml,1018872,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,150,mL,"['10 mg', '5ml']"
DEXAMETHASONE,"6,000.00",PO / NG / PEG,microgram,OM,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,75,mL,"['2 mg', '5ml']"
DEXAMETHASONE,"6,000.00",PO / NG / PEG,microgram,OM,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,150,mL,"['2 mg', '5ml']"
SODIUM VALPROATE,"1,000.00",NG / PEG,mg,BD,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
PROPRANOLOL,40,NG / PEG,mg,OM,Oral Solution Sugar Free,40 mg/5ml,1007172,N,CARDIVASCULAR SYSTEM,2.04,Pack,150,mL,"['40 mg', '5ml']"
CETIRIZINE,10,NG / PEG,mg,OM,Oral Solution Sugar Free,1 mg/ml,2005918,N,RESPIRATORY SYSTEM,03.04.01,Bottle,200,mL,"['1 mg', 'ml']"
BACLOFEN,10,NG / PEG,mg,OM,Oral Solution Sugar Free,5 mg/5ml,1018807,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Bottle,300,mL,"['5 mg', '5ml']"
CETIRIZINE,10,PEG,mg,OM,Oral Solution Sugar Free,1 mg/ml,2005918,N,RESPIRATORY SYSTEM,03.04.01,Bottle,200,mL,"['1 mg', 'ml']"
DEXAMETHASONE,6,PO / NG / PEG,microgram,OM,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,75,mL,"['2 mg', '5ml']"
DEXAMETHASONE,6,PO / NG / PEG,microgram,OM,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,150,mL,"['2 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,6H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,6H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
OXYCODONE,10,Oral,mg,Every 2 hours,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
OXYCODONE,5,Oral,mg,Every 2 hours,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
OXYCODONE,5,Oral,mg,6H,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
OXYCODONE,5,Oral,mg,QDS,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
AMITRIPTYLINE,50,Oral,mg,ON,Oral Solution Sugar Free,50 mg/5ml,2007191,N,CENTRAL NERVOUS SYSTEM,04.03.01,Pack,150,mL,"['50 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,BD,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,BD,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
METRONIDAZOLE,400,NG,mg,TDS,Oral Suspension,200 mg/5ml,1006405,N,INFECTIONS,05.01.11,Bottle,100,mL,"['200 mg', '5ml']"
FLUCONAZOLE,50,Oral,mg,OM,Oral Suspension,50 mg/5ml,1004021,N,INFECTIONS,5.02,Bottle,1,mL,"['50 mg', '5ml']"
DOCUSATE,100,Oral,mg,BD,Oral Solution Sugar Free,50 mg/5ml,2003674,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['50 mg', '5ml']"
CARBOCISTEINE,750,Oral,mg,TDS,Oral Solution,250 mg/5ml,3003129,N,RESPIRATORY SYSTEM,3.07,Bottle,300,mL,"['250 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
OXYCODONE,5,Oral,mg,Every 3 hours,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
OXYCODONE,10,Oral,mg,QDS,Oral Solution Sugar Free,5 mg/5ml,1009043,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
OXYCODONE,5,Oral,mg,QDS,Oral Solution Sugar Free,5 mg/5ml,1009043,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
OXYCODONE,2.5,Oral,mg,Every 2 hours,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
FOLIC ACID,5,Oral,mg,SIX TIMES A WEEK NOT ON DAY OF METHOTREXATE,Oral Solution Sugar Free,2.5 mg/5ml,1003508,N,NUTRITION AND BLOOD,09.01.02,Pack,150,mL,"['2.5 mg', '5ml']"
METHOTREXATE [:NPSA HIGH RISK MEDICINE],9,Oral,mg,Once a week on a Friday morning,Oral Solution,2 mg/ml,1021917,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,35,mL,"['2 mg', 'ml']"
METHOTREXATE [:NPSA HIGH RISK MEDICINE],9,Oral,mg,Once a week on a Friday morning,Oral Solution,2 mg/ml,1021917,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Bottle,65,mL,"['2 mg', 'ml']"
METHOTREXATE [:NPSA HIGH RISK MEDICINE],9,Oral,mg,Once a week on a Friday morning,Oral Solution,2 mg/ml,1021917,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,1,mL,"['2 mg', 'ml']"
FLUCLOXACILLIN,250,Oral,mg,QDS,Oral Solution,250 mg/5ml,1002884,N,INFECTIONS,05.01.01.02,Bottle,100,mL,"['250 mg', '5ml']"
SODIUM PICOSULFATE,10,Oral,mg,BD,Oral Solution,5 mg/5ml,1004727,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,100,mL,"['5 mg', '5ml']"
CEFALEXIN,250,Oral,mg,TDS,Oral Suspension,250 mg/5ml,2003163,N,INFECTIONS,05.01.02,Bottle,100,mL,"['250 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,3H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,3H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,3H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,3H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
KETAMINE (ORANGE),20,Oral,mg,QDS,Oral Solution,50 mg/5ml,1019238,Y,ANAESTHESIA,15.01.01,Pack,300,mL,"['50 mg', '5ml']"
OXYCODONE,10,Oral,mg,QDS,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
OXYCODONE,10,Oral,mg,4H,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
OXYCODONE,5,Oral,mg,4H,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
GLYCOPYRRONIUM [:EXTEMP],400,Oral,microgram,QDS,Oral Solution,1 mg/10mL,1019580,Y,ANAESTHESIA,15.01.03,Batch,40,mL,"['1 mg', '10mL']"
MIDAZOLAM,5,Oral,mg,QDS,Oral Solution,2.5 mg/ml,1018811,Y,ANAESTHESIA,15.01.04.01,Pack,100,mL,"['2.5 mg', 'ml']"
METFORMIN,500,Oral,mg,BD,Oral Solution,500 mg/5ml,9007016,N,ENDOCRINE SYSTEM,06.01.02.02,Pack,100,mL,"['500 mg', '5ml']"
METFORMIN,500,Oral,mg,BD,Oral Solution,500 mg/5ml,9007016,N,ENDOCRINE SYSTEM,06.01.02.02,Pack,150,mL,"['500 mg', '5ml']"
DOCUSATE,200,Oral,mg,BD,Oral Solution Sugar Free,50 mg/5ml,2003674,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['50 mg', '5ml']"
MEMANTINE,20,Oral,mg,ON,Oral Solution Sugar Free,10 mg/ml,1008900,N,CENTRAL NERVOUS SYSTEM,4.11,Pack,50,mL,"['10 mg', 'ml']"
MEMANTINE,20,Oral,mg,ON,Oral Solution Sugar Free,10 mg/ml,1008900,N,CENTRAL NERVOUS SYSTEM,4.11,Pack,100,mL,"['10 mg', 'ml']"
DEXAMETHASONE,6,Oral,mg,OM,Oral Solution Sugar Free,10 mg/5ml,1021079,N,RESPIRATORY SYSTEM,03.01.01.01,Pack,50,mL,"['10 mg', '5ml']"
DEXAMETHASONE,6,Oral,mg,OM,Oral Solution Sugar Free,10 mg/5ml,1021079,N,RESPIRATORY SYSTEM,03.01.01.01,Pack,150,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,3H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,3H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,15,Oral,mg,3H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,15,Oral,mg,3H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
PARACETAMOL SUGAR FREE,"1,000.00",Oral,mg,6H,Oral Suspension,250 mg/5ml,2005478,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,100,mL,"['250 mg', '5ml']"
RIFAMPICIN,450,PO / NG / PEG,mg,BD,Oral Suspension,100 mg/5ml,2004683,N,INFECTIONS,05.01.09,Bottle,120,mL,"['100 mg', '5ml']"
RIFAMPICIN,450,Oral,mg,BD,Oral Suspension,100 mg/5ml,2004683,N,INFECTIONS,05.01.09,Bottle,120,mL,"['100 mg', '5ml']"
DOCUSATE,200,PEG,mg,BD,Oral Solution Sugar Free,50 mg/5ml,2003674,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['50 mg', '5ml']"
CARBOCISTEINE,750,PO / NG / PEG,mg,TDS,Oral Solution,250 mg/5ml,3003129,N,RESPIRATORY SYSTEM,3.07,Bottle,300,mL,"['250 mg', '5ml']"
CYCLIZINE,50,Oral,mg,TDS,Oral Suspension,50 mg/5ml,1019987,Y,CENTRAL NERVOUS SYSTEM,4.06,Bottle,100,mL,"['50 mg', '5ml']"
CYCLIZINE,50,Oral,mg,TDS,Oral Suspension,50 mg/5ml,1019987,Y,CENTRAL NERVOUS SYSTEM,4.06,Bottle,300,mL,"['50 mg', '5ml']"
PARACETAMOL SUGAR FREE,"1,000.00",Oral,mg,QDS,Oral Suspension,250 mg/5ml,2005478,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,100,mL,"['250 mg', '5ml']"
SUCRALFATE :[UNLICENSED},"1,000.00",Oral,mg,QDS,Oral Suspension,1 g/5ml,2004755,N,GASTRO-INTESTINAL SYSTEM,01.03.03,Pack,200,mL,"['1 g', '5ml']"
SUCRALFATE :[UNLICENSED},"1,000.00",Oral,mg,QDS,Oral Suspension,1 g/5ml,2004755,N,GASTRO-INTESTINAL SYSTEM,01.03.03,Pack,250,mL,"['1 g', '5ml']"
DOCUSATE,100,Oral,mg,BD,Oral Solution Sugar Free,50 mg/5ml,2003674,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['50 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
OXYCODONE,20,Oral,mg,QDS,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,Every 2 hours,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,Every 2 hours,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
CARBOCISTEINE,500,Oral,mg,TDS,Oral Solution,250 mg/5ml,3003129,N,RESPIRATORY SYSTEM,3.07,Bottle,300,mL,"['250 mg', '5ml']"
PARACETAMOL,"1,000.00",Oral,mg,6H,Oral Suspension,250 mg/5ml,2004531,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,500,mL,"['250 mg', '5ml']"
PARACETAMOL,500,Oral,mg,6H,Oral Suspension,250 mg/5ml,2004531,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,500,mL,"['250 mg', '5ml']"
LOPERAMIDE,2,Oral,mg,BD,Oral Solution,1 mg/5ml,1004003,Y,GASTRO-INTESTINAL SYSTEM,01.04.02,Bottle,100,mL,"['1 mg', '5ml']"
FUROSEMIDE,20,NG,mg,OM,Oral Solution Sugar Free,40 mg/5ml,1007170,N,CARDIVASCULAR SYSTEM,02.02.02,Bottle,150,mL,"['40 mg', '5ml']"
MORPHINE SULFATE,10,NG,mg,4H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,NG,mg,4H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,NG,mg,4H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,NG,mg,4H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
PARACETAMOL SUGAR FREE,500,NG,mg,QDS,Oral Suspension,250 mg/5ml,2005478,N,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,100,mL,"['250 mg', '5ml']"
FERROUS FUMARATE,210,NG,mg,TDS,Oral Solution Sugar Free,140 mg/5ml,2009231,N,NUTRITION AND BLOOD,09.01.01.01,Pack,300,mL,"['140 mg', '5ml']"
FOLIC ACID,5,NG,mg,OD,Oral Solution Sugar Free,2.5 mg/5ml,1003508,N,NUTRITION AND BLOOD,09.01.02,Pack,150,mL,"['2.5 mg', '5ml']"
METFORMIN,"1,000.00",Oral,mg,BD,Oral Solution,500 mg/5ml,9007016,N,ENDOCRINE SYSTEM,06.01.02.02,Pack,100,mL,"['500 mg', '5ml']"
METFORMIN,"1,000.00",Oral,mg,TDS,Oral Solution,500 mg/5ml,9007016,N,ENDOCRINE SYSTEM,06.01.02.02,Pack,100,mL,"['500 mg', '5ml']"
METFORMIN,"1,000.00",Oral,mg,BD,Oral Solution,500 mg/5ml,9007016,N,ENDOCRINE SYSTEM,06.01.02.02,Pack,150,mL,"['500 mg', '5ml']"
METFORMIN,"1,000.00",Oral,mg,TDS,Oral Solution,500 mg/5ml,9007016,N,ENDOCRINE SYSTEM,06.01.02.02,Pack,150,mL,"['500 mg', '5ml']"
